posted_date,text,likes,comments,reposts,appreciations,empathy,praises,interests,has_images,num_images,has_video,post_url,poster_name,poster_linkedin_url,reshared,time,urn,video_duration,video_stream_url
2025-06-13 17:00:02,"How much do you know about Tokyo Electron?
 
Through our corporate blog, we provide insights into the people and culture at TEL, as well as the technologies we develop. 
In our latest blog post, we cover a roundtable discussion featuring female engineers who are working in Japan, along with corporate officers.
 
Discover how they’re working, what they're thinking, and how they're taking action toward the next growth phase of TEL. 
We invite you to learn about the people who are evolving TEL through this blog!
 
Highlights of the Discussion: 
◆TEL = A Space Where Dynamic Perspectives Converge
◆Supportive Networks, Interpersonal Connections, Challenges Faced, Ideas for Future Change
◆The Importance of Thoughtful Communication
 
Check out the blog here:
https://lnkd.in/eUka7WSc


#TokyElectron
#TEL
#Engineer
#TechnologyEnablingLife",50,0,3,0,2,0,0,True,1,False,https://www.linkedin.com/posts/tokyo-electron_tokyelectron-tel-engineer-activity-7339335755137241088-9UCl,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,3 days ago,7339335755137241088,,
2025-06-05 15:00:12,"#TEL is leading the charge toward sustainable innovation. On #WorldEnvironmentDay, we renew our commitment to creating a greener future through eco-friendly semiconductor solutions.",39,0,1,0,1,2,0,True,1,False,https://www.linkedin.com/posts/tokyo-electron_tel-worldenvironmentday-activity-7336406495347019776-1sU_,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,1 week ago,7336406495347019776,,
2025-06-03 19:00:12,"In #semiconductor manufacturing, every layer, connection, and component must align perfectly to achieve breakthrough results. 🛠️💡 The same is true for the workplace.

This #PrideMonth, Tokyo Electron celebrates the power of unique perspectives that strengthen our teams and help drive the future of technology forward. Together, we’re building an industry where everyone can bring their talents to the table and to the fab. ✨
#TELPride #TokyoElectron🌈",38,0,2,1,4,0,0,True,1,False,https://www.linkedin.com/posts/tokyo-electron_semiconductor-pridemonth-telpride-activity-7335742119774420994-YTXt,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,1 week ago,7335742119774420994,,
2025-05-29 16:30:04,"We’re in Dallas. We’re in the thick of it. And we’re doing what #TEL does best 📦 pushing the future of #semiconductors from concept to cleanroom.

As proud Gold Sponsors of #ECTC2025, we’re joining forces with global experts to explore the real building blocks of this industry: packaging, reliability, RF, and materials that power the chips driving our world. From keynote stages to hallway brainstorms—this is where breakthroughs begin.

It’s not just about tomorrow’s tech.
It’s about how we get there and who gets to build it.

📍 Let’s connect before the last session wraps.
#AdvancedPackaging #MaterialsMatter",144,2,3,0,1,5,0,True,3,False,https://www.linkedin.com/posts/tokyo-electron_tel-semiconductors-ectc2025-activity-7333892396029489153-1LCC,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,2 weeks ago,7333892396029489153,,
2025-05-21 16:00:14,"Let’s talk about the two biggest moments #TEL helped shape this month.

Women in Semiconductors 2025 kicked off with TEL’s Rosanna A. Robert ⚙️, ES Process Engineer, opening the stage as WiS co-chair, followed by Alex Oscilowski 🧠, President of TEL Technology Center, America, joining a bold panel that didn’t tiptoe around issues. They tackled real strategies for women’s advancement in STEM and didn’t hold back.

The message? Representation isn’t a theme. It’s a responsibility. And TEL’s owning it. ✊ 

Then came #ASMC2025, where TEL didn’t just participate, we programmed the thing. Katie Lutker-Lee served as program chair, assembling a tech-packed lineup that stretched from wet and etch to FOUP dispatching and AI-driven fabs.

Prof. Subu Iyer from UCLA delivered a keynote so captivating that it had to be cut off 15 minutes after its scheduled end time. ⏱️ (and the audience still wasn’t done).

From market forecasts to a brutally honest look at whether AI is outpacing us in fab floors, the conversation was real, raw, and absolutely necessary.

TEL showed up, spoke up, and didn’t play it safe.
We lead in tech, and we lead in equity.

#WomenInSemiconductors #WiS2025 #SemiconductorLeadership #RepresentationMatters #STEMCareers #FutureOfManufacturing",151,1,4,1,0,8,0,True,2,False,https://www.linkedin.com/posts/tokyo-electron_tel-asmc2025-womeninsemiconductors-activity-7330985784805691392-3cPl,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,3 weeks ago,7330985784805691392,,
2025-05-20 19:46:20,"When precision matters, #TEL delivers.

At #SPCC2025 in Chandler, AZ, our experts are taking the mic with breakthrough topics that redefine how we clean, etch, and prep wafers:

	•	☑️11:30 MT Karthik Pillai – Critical Dimensions Dependent Wet Etching of Thin Films
	•	2:00 MT Hirofumi Takeguchi – Physical Cleaning Equipment with Bevel-Free Wafer Retention Technology
	•	3:30 MT Hiroki Sakurai – Steam-Injected SPM Process for High Ion Dosed Implanted Photoresist Stripping
	•	4:10 MT Sangita Kumari – Wet Cleaning Post Subtractive Ru Etch using UV Cure

Four talks. One company. Endless micro-level mastery.

If you’re on-site, you’ll want a front-row seat. If not, keep your eyes on this space.

#Semiconductor #WaferCleaning #EtchTech #ProcessEngineering",60,0,3,0,0,1,0,True,4,False,https://www.linkedin.com/posts/tokyo-electron_tel-spcc2025-semiconductor-activity-7330680298520633345-fncs,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,3 weeks ago,7330680298520633345,,
2025-05-30 17:00:12,"#SPCC2025 wrapped last week… but the ripple effect? Still spreading. 🌊

As Gold Sponsor, #TEL had 4 powerhouse sessions that hit deep on:

🔬 Wet etch strategies
⚙️ Steam-injected high-dose stripping
🧼 Bevel-free wafer retention
💡 Ru etch with UV cure

Each talk sparked the same message: when it comes to surface cleaning in semiconductors, details aren’t just details, they’re the entire game.

📍 Weren’t there? Tell us:
Which topic would you want to hear more about? Let’s keep this conversation clean. 👇

#SurfaceScience #MaterialsEngineering #AdvancedManufacturing",90,0,2,0,1,1,0,True,1,False,https://www.linkedin.com/posts/tokyo-electron_spcc2025-tel-surfacescience-activity-7334262367796477952-EszN,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,2 weeks ago,7334262367796477952,,
2025-06-06 20:29:23,"Exciting News! 
Students from The University of Texas visited the Tokyo Electron headquarters, exploring how our technology is transforming the world! 

◆Now is an Exciting Time for the Semiconductor Industry
In a technology session led by one of TEL's General managers, Dr. Peter Loewenhardt, we discussed the remarkable growth of the semiconductor market expected in the next decade and the technological transformations underway. Peter highlighted key equipment technologies required for processes at the angstrom level and the changes in major semiconductor devices including #Logic, #DRAM, and 3D #NAND. 

◆Energy-Efficient Semiconductor Devices and Sustainability: #NetZero
Peter discussed critical challenges, including energy consumption and the need for innovation in semiconductor technology. In 2020-2021, the industry experienced a high growth rate of 26% annually, raising concerns about future energy usage. He indicated that by 2045, the industry could potentially consume all the world’s energy, highlighting the urgent need for more energy-efficient devices.

Students inquired about TEL's sustainability initiatives, learning that TEL aims to achieve net-zero for scopes 1, 2, and 3 emissions by 2040. 
Peter emphasized the need for collaboration to tackle challenges while advancing technology. 🤝 

◆Talk Session
During our talk session with current employees, a variety of questions arose, from everyday curiosities to future career discussions—making it a valuable experience for all!
The enthusiasm of the students reflected their commitment to shaping the future of semiconductor technology. 

TEL is dedicated to nurturing talent through industry-academia collaborations and internships, driving effective innovation within our ecosystem. 

Thank you, University of Texas students, for joining us!

#TheUniversityofTexas
#STEM
#Semiconductors
#TechnologyEnablingLife
 #TokyoElectron
 #TEL",250,1,3,2,3,7,0,True,8,False,https://www.linkedin.com/posts/tokyoelectron_logic-dram-nand-ugcPost-7336632971547787264-e5M-,TOKYO ELECTRON LIMITED,https://www.linkedin.com/company/tokyoelectron/posts,True,1 week ago,7336851727641391104,,
2025-05-26 14:00:12,"On #MemorialDay  🇺🇸, #TEL remembers and honors the sacrifices of those who protect our freedom. Their legacy inspires innovation and drives our purpose.",66,0,3,4,5,0,0,True,1,False,https://www.linkedin.com/posts/tokyo-electron_memorialday-tel-activity-7332767518807277568-PX7Q,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,3 weeks ago,7332767518807277568,,
2025-05-09 17:45:05,"We’re proud to see our own Alex Oscilowski, President of Tokyo Electron Technology Center America, featured in the Albany Business Review spotlighting our incredible partnership with @NYCREATES at the #AlbanyNanoTech Complex.

This isn’t just a site, it’s where the future of semiconductors is being built today. Curious what happens when world-class talent and cutting-edge resources collide? You’re looking at it. 
#TEL #TechnologyEnablingLife",110,2,2,0,2,11,0,False,0,False,https://www.linkedin.com/posts/tokyo-electron_ny-creates-albany-nanotech-complex-wasfeatured-activity-7326663516734521344-fVWA,Tokyo Electron US,https://www.linkedin.com/company/tokyo-electron/posts,False,1 month ago,7326663516734521344,,
